ORG_ID,WATER_SUPPLIER_NAME,WORKSHEET_NAME,REVIEWED_BY_DWR,REQUIREMENTS_ADDRESSED,WATER_DEMAND_TYPE,WATER_DEMAND_VOLUME_2020,WATER_DEMAND_VOLUME_2025,WATER_DEMAND_VOLUME_2030,WATER_DEMAND_VOLUME_2035,WATER_DEMAND_VOLUME_2040,WATER_DEMAND_VOLUME_2045
561,Citrus Heights Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
561,Citrus Heights Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,12484,11849,12173,12437,12906,13355.4
561,Citrus Heights Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
572,Cloverdale  City of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,393,532,565,570,583,0
572,Cloverdale  City of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
572,Cloverdale  City of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
574,Clovis  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,24828,36637,37323,40122,43198,0
574,Clovis  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
574,Clovis  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,710,3100,5500,6300,9400,
575,Coachella  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,7216,10869,12819,14731,16819,18746
575,Coachella  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
575,Coachella  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
577,Coachella Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,8696,13600,14400,15100,15900,16800
577,Coachella Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,99842,123461,130582,137629,143082,148166
577,Coachella Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
583,Coastside County Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
583,Coastside County Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,,,,,,
583,Coastside County Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,667,705,695,690,668,664
596,Colton  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
596,Colton  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
596,Colton  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,9244,9759,10283,10805,11097,11387
613,Contra Costa Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,8700,10700,15100,16000,16700,17000
613,Contra Costa Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,63610,80900,83500,86400,89400,90700
613,Contra Costa Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
624,Corona  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,34241,32760,32623,32522,32371,32156
624,Corona  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
624,Corona  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,3781,4795,5145,5495,5845,6195
644,Covina  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,5387,5607,5636,5665,5695,5724
644,Covina  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
644,Covina  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
649,Crescent City,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
649,Crescent City,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
649,Crescent City,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,832,809,801,795,790,786
651,Crescenta Valley Community Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,4215.81,3978.74,4041.48,4105.21,4169.94,4235.69
651,Crescenta Valley Community Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
651,Crescenta Valley Community Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,0,0,0,0,0,0
654,Crestline Village Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
654,Crestline Village Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
654,Crestline Village Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,309927,324768,340368,356762,373993,0
664,Cucamonga Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,4458,4000,4000,4000,4000,4000
664,Cucamonga Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,46021,51569,56092,57650,58949,58949
664,Cucamonga Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,5496,5800,6000,6000,6000,6000
673,Daly City,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,10,550,550,550,550,550
673,Daly City,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
673,Daly City,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,2174,2134,2101,2095,2106,2120
678,Davis  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,10488,10912,11470,12056,12672,13318
678,Davis  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
678,Davis  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,,,,,,
699,Del Oro Water Company,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
699,Del Oro Water Company,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,353271,438125,516613,563718,577464,591557
699,Del Oro Water Company,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,,,,,,
711,Delano  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,8239,9194,9904,10670,11495,12383
711,Delano  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
711,Delano  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,4424,4461,4499,4537,4575,4614
727,Desert Water Agency,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,3649,3413,3413,3413,3413,3413
727,Desert Water Agency,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
727,Desert Water Agency,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,33207,36228,37762,39264,40494,41565
731,Diablo Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,2105,2580,3261,3920,4580,0
731,Diablo Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
731,Diablo Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
737,Dinuba  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,1553,1845,2021,2215,2427,0
737,Dinuba  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
737,Dinuba  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
739,Discovery Bay Community Services District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
739,Discovery Bay Community Services District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
739,Discovery Bay Community Services District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,1050,1423,1645,1873,2160,2491
759,Dublin San Ramon Services District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
759,Dublin San Ramon Services District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,3043,3043,3043,3043,3043,3043
759,Dublin San Ramon Services District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,10330,11993,13362,13806,13821,14035
775,East Bay Municipal Utility District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,61811,67890,69350,70810,73365,76285
775,East Bay Municipal Utility District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
775,East Bay Municipal Utility District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,2248,3462,4609,5802,7204,7204
784,East Niles Community Services District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
784,East Niles Community Services District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
784,East Niles Community Services District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,8148,8402,9186,10044,10980,12005
785,East Orange County Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,800,850,900,950,999.8,1050
785,East Orange County Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
785,East Orange County Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
787,East Palo Alto  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
787,East Palo Alto  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,572,692.0821,721.0818,778.5294,926.6863,1077.5497
787,East Palo Alto  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
793,East Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
793,East Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,18374,19700,20370,21039,21661,22283
793,East Valley Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
794,Eastern Municipal Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,31243,43330,49020,54500,59800,64100
794,Eastern Municipal Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,84673,102600,108300,114400,118900,123000
794,Eastern Municipal Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
814,El Centro  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,7580,7905,8143,8334,8755,9176
814,El Centro  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
814,El Centro  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
816,El Dorado Irrigation District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
816,El Dorado Irrigation District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,36159,34740,35530,36680,37890,39080
816,El Dorado Irrigation District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,4231,4240,4240,4240,4240,4240
827,El Segundo  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,8974,8112,7320,6616,5979,
827,El Segundo  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
827,El Segundo  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,5489,5458,5423,5393,5361,0
830,El Toro Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,7167,7252,7650.74,7666,7686.8,7670.53
830,El Toro Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,1270,1485,1485,1485,1485,1485
830,El Toro Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
835,Elk Grove Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
835,Elk Grove Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
835,Elk Grove Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,6994,7300,7910,8020,8130,8180
842,Elsinore Valley Municipal Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
842,Elsinore Valley Municipal Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,23653,29825,32130,34613,37288,40170
842,Elsinore Valley Municipal Water District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,7803,9107,9864,10700,10797,10797
851,Escondido  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,464,3935,4105,7585,7665,7745
851,Escondido  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
851,Escondido  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,20625,25840,26085,26338,26602,27518
856,Estero Municipal Improvement District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
856,Estero Municipal Improvement District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
856,Estero Municipal Improvement District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,1596.436204,1614.738,1645.744091,1680.597137,1722.516781,1805.273075
859,Eureka  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
859,Eureka  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,934,1018,1047,1079,1111,1140
859,Eureka  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
866,Fair Oaks Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
866,Fair Oaks Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,10452,10530,10614,10701,10792,0
866,Fair Oaks Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
867,Fairfield  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
867,Fairfield  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,6808,7106,7648,7777,8089,8275
867,Fairfield  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,0,0,0,0,64,64
873,Fallbrook Public Utility District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,8403,8645,8969,9551,9760,9860
873,Fallbrook Public Utility District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,,,,,
873,Fallbrook Public Utility District,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,517,830,830,830,830,830
904,Folsom  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,19898,20518,22745,24214,25145,25520
904,Folsom  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
904,Folsom  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
920,Fortuna  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
920,Fortuna  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,463,461.83,501,541,585,634
920,Fortuna  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
924,Fountain Valley  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,1184,1400,1400,1400,1400,1400
924,Fountain Valley  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,8686,8589,8510,8624,8717,8718
924,Fountain Valley  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
934,Fresno  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Storage Deduction,,14220,14220,14220,14220,14220
934,Fresno  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Potable and Raw Water,164679,199204,212756,222310,231876,241447
934,Fresno  City Of,Table 4-3 Retail: Total Water Demands,Yes,Yes,Recycled Water Demand,4757,14220,14220,14220,14220,14220
967,Fullerton  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
967,Fullerton  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,23799,25655,27445,27561,27672,27849
967,Fullerton  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
972,Galt  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,4780.759622,4897.238656,5013.445953,5303.25567,5614.801115,5949.712468
972,Galt  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
972,Galt  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,655,655,665,665,665,665
977,Garden Grove  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
977,Garden Grove  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
977,Garden Grove  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,21980,22588.1,22958,22880,22744,22792
990,Georgetown Divide Public Utility District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,11366,9174.9,9255.1,9338.3,9424,9515.8
990,Georgetown Divide Public Utility District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
990,Georgetown Divide Public Utility District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
995,Gilroy  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,8272,8645,9314,10035,10810,11645
995,Gilroy  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
995,Gilroy  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,1278,1673,2068,2464,2464,2464
1004,Glendale  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,1811,1911,4630,4630,4630,4630
1004,Glendale  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1004,Glendale  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,21371,21586,21800,22019,22238,22461
1005,Glendora  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1005,Glendora  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1005,Glendora  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,9898,11090,11211,11333,11456,11581
1029,Golden State Water Company - Artesia,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,110,110,110,110,110,110
1029,Golden State Water Company - Artesia,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1029,Golden State Water Company - Artesia,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,4846,5109,5152,5196,5240,5284
1030,Golden State Water Company - Barstow,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1030,Golden State Water Company - Barstow,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,5721,5435,5528,5622,5718,5815
1030,Golden State Water Company - Barstow,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1031,Golden State Water Company - Bay Point,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1031,Golden State Water Company - Bay Point,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,1924,1774,1804,1836,1867,1899
1031,Golden State Water Company - Bay Point,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1032,Golden State Water Company - Bell-Bell Gardens,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1032,Golden State Water Company - Bell-Bell Gardens,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,100,140,140,140,140,140
1032,Golden State Water Company - Bell-Bell Gardens,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,4520,4636,4667,4699,4731,4763
1034,Golden State Water Company - Claremont,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,10175,10451,10623,10798,10977,11158
1034,Golden State Water Company - Claremont,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1034,Golden State Water Company - Claremont,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1036,Golden State Water Company - Cordova,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,14206,13605,13949,14301,14662,15032
1036,Golden State Water Company - Cordova,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1036,Golden State Water Company - Cordova,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1038,Golden State Water Company - Culver City,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1038,Golden State Water Company - Culver City,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1038,Golden State Water Company - Culver City,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,4707,5002,5086,5175,5269,5370
1041,Golden State Water Company - Florence Graham,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1041,Golden State Water Company - Florence Graham,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,4755,4843,4945,5049,5155,5264
1041,Golden State Water Company - Florence Graham,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1049,Golden State Water Company - Norwalk,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1049,Golden State Water Company - Norwalk,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,159,200,200,200,200,200
1049,Golden State Water Company - Norwalk,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,4261,4365,4367,4369,4371,4374
1052,Golden State Water Company - Orcutt,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,6481,6105,6266,6432,6603,6777
1052,Golden State Water Company - Orcutt,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1052,Golden State Water Company - Orcutt,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1053,Golden State Water Company - Placentia,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1053,Golden State Water Company - Placentia,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,7049,6657,6683,6709,6736,6762
1053,Golden State Water Company - Placentia,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1054,Golden State Water Company - San Dimas,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1054,Golden State Water Company - San Dimas,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1054,Golden State Water Company - San Dimas,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,10830,10753,10796,10840,10883,10927
1057,Golden State Water Company - Simi Valley,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,6464,6062,6189,6318,6450,6585
1057,Golden State Water Company - Simi Valley,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1057,Golden State Water Company - Simi Valley,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1058,Golden State Water Company - South Arcadia,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,3097,2954,2988,3022,3056,3091
1058,Golden State Water Company - South Arcadia,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1058,Golden State Water Company - South Arcadia,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1059,Golden State Water Company - South San Gabriel,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,16,30,30,30,30,30
1059,Golden State Water Company - South San Gabriel,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,2450,2396,2422,2447,2474,2500
1059,Golden State Water Company - South San Gabriel,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1060,Golden State Water Company - Southwest,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,26228,26939,27347,27761,28181,28608
1060,Golden State Water Company - Southwest,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,409,500,500,500,500,500
1060,Golden State Water Company - Southwest,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1062,Golden State Water Company - West Orange,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,14173,14137,14527,14926,15337,15759
1062,Golden State Water Company - West Orange,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,241,250,250,250,250,250
1062,Golden State Water Company - West Orange,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1068,Goleta Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,10623,10866,11325,11561,11737,0
1068,Goleta Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,729,768,772,772,772,
1068,Goleta Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1083,Great Oaks Water Company Incorporated,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1083,Great Oaks Water Company Incorporated,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1083,Great Oaks Water Company Incorporated,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,3633,3363,3174,2825,2450,2207
1094,Greenfield County Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1094,Greenfield County Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1094,Greenfield County Water District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,835.48,881,927,973,1020,1069
1109,Groveland Community Services District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,38,0,0,0,0,0
1109,Groveland Community Services District,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,129.55,142,145,151,159,170
1109,Groveland Community Services District,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1110,Grover Beach  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Potable and Raw Water,1288,1375,1464,1550,1636,1723
1110,Grover Beach  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
1110,Grover Beach  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Storage Deduction,,,,,,
1125,Hanford  City Of,Table 4-3 Retail: Total Water Demands,No,N/A,Recycled Water Demand,,,,,,
